NumeroCarteElecteur,CIN,Nom,Prenom,DateNaissance,Commune,BureauVote,Email,Telephone,LieuDeNaissance,Sexe
121314151,WX121314,Kévin,Martin,1994-06-22,Angers,Bureau P,kevin.martin@example.com,0612345675,Angers,Masculin
161718192,YZ161718,Léa,Dupuis,1989-03-15,Toulon,Bureau Q,lea.dupuis@example.com,0798765433,Toulon,Féminin
202122232,AB202122,Thomas,Richard,1978-09-10,La Rochelle,Bureau R,thomas.richard@example.com,0623456781,La Rochelle,Masculin
242526272,CD242526,Julie,Guillaume,2000-04-29,Nancy,Bureau S,julie.guillaume@example.com,0634567890,Nancy,Féminin
282930313,EF282930,Romain,Charpentier,1996-10-18,Besançon,Bureau T,romain.charpentier@example.com,0745678901,Besançon,Masculin
323334353,GH323334,Lucie,Meyer,1985-12-08,Metz,Bureau U,lucie.meyer@example.com,0556789012,Metz,Féminin
363738393,IJ363738,Victor,Renard,1991-07-25,Quimper,Bureau V,victor.renard@example.com,0767890123,Quimper,Masculin
404142434,KL404142,Inès,Faure,1993-01-05,Saint-Étienne,Bureau W,ines.faure@example.com,0789012300,Saint-Étienne,Féminin
444546474,LM444546,Antoine,Lemoine,1984-08-14,Nîmes,Bureau X,antoine.lemoine@example.com,0798781432,Nîmes,Masculin
484950515,NM484950,Sandra,Morel,1992-11-30,Bourg-en-Bresse,Bureau Y,sandra.morel@example.com,06123845678,Bourg-en-Bresse,Féminin
